"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Twitter New logo concept - @elonmusk edition. Took some nights to do this merge. Hope you will like it <U+0001F499> #ElonMusk… https://t.co/MeVXhP9yA8",FALSE,9,"Twitter",2022-04-28 17:27:41,TRUE,NA,"1519730081031143425","783214","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zedesignss",3,FALSE,FALSE,NA,NA
"RT @kotecha1807: This is crazy <U+0001F602><U+0001F602>
@iMarketingMoves
#ElonMusk #ElonMuskBuyTwitter #TwitterTakeover #twittersold #TwitterCEO #Twitter #ElonMu…",FALSE,0,NA,2022-04-28 17:27:28,FALSE,NA,"1519730026861584384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MewaraKushal",2,TRUE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:26:14,FALSE,NA,"1519729718408335361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChanduR1182",244,TRUE,FALSE,NA,NA
"#TwitterCEO #Musk #twitter https://t.co/5BiQFREOUc",FALSE,0,NA,2022-04-28 17:26:04,FALSE,NA,"1519729677010616321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kitesurferlee",0,FALSE,FALSE,NA,NA
"Hey man @elonmusk
I had been on @Twitter for 12 years.

Tweets almost every day. 
Only 523 followers!!(?) 

Isn't i… https://t.co/dSuEE5TonO",FALSE,1,NA,2022-04-28 17:25:22,TRUE,NA,"1519729497309732865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IamRanvir",0,FALSE,FALSE,NA,NA
"<U+0905><U+0917><U+0930> <U+0924><U+0941><U+092E> <U+0915><U+093F><U+0938><U+0940> <U+0938><U+0947> <U+091C><U+0940><U+0924> <U+0928><U+0939><U+0940><U+0902> <U+0938><U+0916><U+0924><U+0947>.
<U+0924><U+094B> <U+092B><U+093F><U+0930> <U+0935><U+0941><U+0938><U+0947> <U+0916><U+0930><U+093F><U+0926> <U+0932><U+094B> <U+0001F60E>
#ElonMusk #TwitterCEO @elonmusk",FALSE,1,NA,2022-04-28 17:23:10,FALSE,NA,"1519728947227148289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrankya",0,FALSE,FALSE,NA,NA
"RT @karis_brownn: How do you say BEAUTIFUL in your language <U+0001F351><U+0001F351><U+0001F31D><U+0001F31D>

#beachbody #peachyberry #explore #TwitterCEO @Grachidex @yabaleftonline @…",FALSE,0,NA,2022-04-28 17:21:57,FALSE,NA,"1519728638790414337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AyobamiSugar__",6,TRUE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:19:58,FALSE,NA,"1519728141929005063",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","draven_4252_",244,TRUE,FALSE,NA,NA
"RT @karis_brownn: How do you say BEAUTIFUL in your language <U+0001F351><U+0001F351><U+0001F31D><U+0001F31D>

#beachbody #peachyberry #explore #TwitterCEO @Grachidex @yabaleftonline @…",FALSE,0,NA,2022-04-28 17:19:18,FALSE,NA,"1519727971275264003",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mohamed37197662",6,TRUE,FALSE,NA,NA
"RT @karis_brownn: How do you say BEAUTIFUL in your language <U+0001F351><U+0001F351><U+0001F31D><U+0001F31D>

#beachbody #peachyberry #explore #TwitterCEO @Grachidex @yabaleftonline @…",FALSE,0,NA,2022-04-28 17:18:52,FALSE,NA,"1519727863217496067",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grachidex",6,TRUE,FALSE,NA,NA
